State/Uts,GSDP-Curr-2011-12(Cr),GSDP-Curr-2012-13(Cr),GSDP-Curr-2013-14(Cr),GSDP-Curr-2014-15(Cr),GSDP-Curr-2015-16(Cr),GSDP-Curr-2016-17(Cr),GSDP-Curr-2017-18(Cr),GSDP-Curr-2018-19(Cr),GSDP-Curr-2019-20(Cr),GSDP-Curr-2020-21(Cr),GSDP-Curr-2021-22(Cr),% Growth2012-13,% Growth2013-14,% Growth2014-15,% Growth2015-16,% Growth2016-17,% Growth2017-18,% Growth2018-19,% Growth2019-20,% Growth2020-21,% Growth2021-22
Andhra Pradesh ,379402.03,411403.71,464272.01,524975.64,604228.62,684415.87,786135.42,873721.11,966099.05,1014373.79,1201735.52,8.43,12.85,13.08,15.1,13.27,14.86,11.14,10.57,5,18.47
Arunachal Pradesh,11062.69,12546.62,14581.07,17959.41,18509.16,19902.12,22474.78,25330.85,27884.63,29694.51,NA,13.41,16.22,23.17,3.06,7.53,12.93,12.71,10.08,6.49,NA
Assam,143174.91,156864.24,177745.22,195723.15,227958.83,254382.36,283164.89,309336.32,377404.81,381003.97,433925.44,9.56,13.31,10.11,16.47,11.59,11.31,9.24,22,0.95,13.89
Bihar,247143.96,282367.93,317101.34,342950.94,371601.79,421051.5,468746.31,527975.82,594016.4,618628.16,NA,14.25,12.3,8.15,8.35,13.31,11.33,12.64,12.51,4.14,NA
Chhattisgarh,158073.82,177511.33,206833.18,221118.11,225162.99,262801.75,282283.44,318101.13,344955.35,350269.83,NA,12.3,16.52,6.91,1.83,16.72,7.41,12.69,8.44,1.54,NA
Goa,42366.66,38120.02,35921.1,47814.18,55053.85,62976.31,69352.05,71853.34,74828.37,78337.92,85380.28,-10.02,-5.77,33.11,15.14,14.39,10.12,3.61,4.14,4.69,8.99
Gujarat,615606.07,724495.36,807623.19,921773.15,1029009.74,1167155.58,1329094.77,1492155.71,1629638.12,1655916.77,NA,17.69,11.47,14.13,11.63,13.43,13.87,12.27,9.21,1.61,NA
Haryana,297538.52,347032.01,399268.12,437144.71,495504.11,561424.17,638832.08,698188.88,762043.6,758506.53,895671.25,16.63,15.05,9.49,13.35,13.3,13.79,9.29,9.15,-0.46,18.08
Himachal Pradesh,72719.83,82819.79,94764.15,103772.32,114239.41,125633.64,138551.09,148383.27,159161.7,156675.06,175173.31,13.89,14.42,9.51,10.09,9.97,10.28,7.1,7.26,-1.56,11.81
Jammu & Kashmir*,78255.55,87137.73,95618.74,98366.75,117167.95,124848,139708.86,159859.45,NA,NA,NA,11.35,9.73,2.87,19.11,6.55,11.9,14.42,NA,NA,NA
Jharkhand,150917.59,174723.69,188566.71,218525.17,206612.8,236249.72,269816.14,305695.2,321157.31,317078.73,NA,15.77,7.92,15.89,-5.45,14.34,14.21,13.3,5.06,-1.27,NA
Karnataka,606009.81,695413.05,816666.15,913923.03,1045168.1,1207607.72,1333240,1476496.28,1615456.53,1730991.41,2049378.96,14.75,17.44,11.91,14.36,15.54,10.4,10.74,9.41,7.15,18.39
Kerala,364047.88,412313,465041.21,512564.05,561993.61,634886.4,701588.26,788285.58,824374.2,799571.11,901997.83,13.26,12.79,10.22,9.64,12.97,10.51,12.36,4.58,-3.01,12.81
Madhya Pradesh,315561.59,380924.8,439483.44,479939.04,541067.51,649822.81,726283.92,831023.88,938602.13,976281.48,1169003.88,20.71,15.37,9.21,12.74,20.1,11.77,14.42,12.95,4.01,19.74
Maharashtra,1280369.44,1459628.63,1649646.63,1779137.93,1966224.58,2198185.15,2352781.5,2567897.06,2734551.53,2711685.12,NA,14,13.02,7.85,10.52,11.8,7.03,9.14,6.49,-0.84,NA
Manipur,12914.6,13743.24,16182.04,18129.05,19530.67,21293.89,25789.23,27388.07,31297.02,34110.21,NA,6.42,17.75,12.03,7.73,9.03,21.11,6.2,14.27,8.99,NA
Meghalaya,19917.75,21872.02,22938.24,23234.53,25117.36,27438.62,29508.3,32175.82,34715.7,33435.92,37494.22,9.81,4.87,1.29,8.1,9.24,7.54,9.04,7.89,-3.69,12.14
Mizoram,7258.69,8361.93,10293.37,13509.4,15138.86,17191.91,19385.33,21912.08,25230.24,29213.9,NA,15.2,23.1,31.24,12.06,13.56,12.76,13.03,15.14,15.79,NA
Nagaland,12176.76,14121.27,16611.73,18400.67,19523.95,21722.45,24392.96,26527.42,29612.43,29540.8,NA,15.97,17.64,10.77,6.1,11.26,12.29,8.75,11.63,-0.24,NA
Odisha,230987.08,261699.6,296475.38,314249.95,328549.5,392803.67,440974.79,498576.56,546413.53,542889.59,638342.32,13.3,13.29,6,4.55,19.56,12.26,13.06,9.59,-0.64,17.58
Punjab,266628.27,297733.82,332146.94,355101.82,390087.44,426988.1,471013.61,512509.69,540223.75,541518.21,596679.98,11.67,11.56,6.91,9.85,9.46,10.31,8.81,5.41,0.24,10.19
Rajasthan,434836.64,493551.24,551031.02,615641.56,681482.26,760587.27,832529.23,911674.14,999050.36,1013323.01,1196137.11,13.5,11.65,11.73,10.69,11.61,9.46,9.51,9.58,1.43,18.04
Sikkim,11165.1,12338.42,13861.9,15406.72,18033.94,20687.19,25970.82,28402.43,30808.99,32724.47,37523.79,10.51,12.35,11.14,17.05,14.71,25.54,9.36,8.47,6.22,14.67
Tamil Nadu,751485.76,854825.35,968530.45,1072677.97,1176500.03,1302638.58,1465050.91,1630209.15,1797228.72,1902688.87,2179654.66,13.75,13.3,10.75,9.68,10.72,12.47,11.27,10.25,5.87,14.56
Telangana,359434.11,401593.61,451580.4,505848.79,577902.06,658325.34,750050.28,857427.15,948355.9,969655.78,1154859.99,11.73,12.45,12.02,14.24,13.92,13.93,14.32,10.6,2.25,19.1
Tripura,19208.41,21663.2,25592.83,29533.46,35937.73,39479.4,43715.8,49823.32,55856.94,58879.53,68566.31,12.78,18.14,15.4,21.68,9.86,10.73,13.97,12.11,5.41,16.45
Uttar Pradesh,724050.44,822392.92,940356.43,1011789.66,1137807.94,1288700.23,1439706.45,1582853.12,1710495.8,1717505.47,1910216.65,13.58,14.34,7.6,12.45,13.26,11.72,9.94,8.06,0.41,11.22
Uttarakhand,115327.57,131612.84,149074.39,161438.92,177163.02,195124.85,220222.13,230284.55,236693.94,227421.32,NA,14.12,13.27,8.29,9.74,10.14,12.86,4.57,2.78,-3.92,NA
West Bengal,520485.05,591464.45,676848.06,718081.66,797299.8,872527.23,974699.78,1102282.75,1207822.61,1301016.77,NA,13.64,14.44,6.09,11.03,9.44,11.71,13.09,9.57,7.72,NA
Andaman & Nicobar Islands,3978.43,4421.18,5022.63,5477.22,6031.73,6835.87,7890.41,9003.18,9719.23,NA,NA,11.13,13.6,9.05,10.12,13.33,15.43,14.1,7.95,NA,NA
Chandigarh,18768.15,21608.56,24821.72,26548.56,29275.07,32426.66,36344.35,40139.4,43984.19,41620,NA,15.13,14.87,6.96,10.27,10.77,12.08,10.44,9.58,-5.38,NA
Delhi,343797.5,391387.64,443959.89,494803.02,550803.7,616085.06,677900.04,738389.43,794030.05,785341.62,NA,13.84,13.43,11.45,11.32,11.85,10.03,8.92,7.54,-1.09,NA
Jammu & Kashmir-U.T.,0,0,0,0,0,0,0,0,169878.82,175367.67,196695.68,0,0,0,0,0,0,0,0,3.23,12.16
Puducherry,16818.01,18875.45,21870.12,22573.96,26616.54,29572.66,32128.8,36385.62,37817.95,37206.86,38285.03,12.23,15.87,3.22,17.91,11.11,8.64,13.25,3.94,-1.62,2.9
